respondent_id,h1n1_vaccine,seasonal vaccine
0,0.07382938434464509,0.21134248987937543
1,0.04169446121900701,0.034216489181549695
2,0.4453876466957156,0.6931815161106876
3,0.4842281379564687,0.879725536583649
4,0.22446153785535425,0.4930096907867333
5,0.4094712164564818,0.9116288170274729
6,0.3490039661379498,0.5041306097871756
7,0.15704015831558732,0.31559974961674875
8,0.03736932724016036,0.17533373669972516
9,0.19127243186729806,0.8565846167811203
10,0.022284197080763467,0.3883430778151292
11,0.19413744412454267,0.3922052418532143
12,0.10399944308930112,0.9277904625887672
13,0.07473981822140999,0.14412959241465872
14,0.44101850816430194,0.41954929474232994
15,0.051366287090939836,0.08633808588370799
16,0.6621824890780796,0.842733993059403
17,0.11959016579962038,0.6100825488055653
18,0.048518456915054256,0.09619927773376885
19,0.018148561717681064,0.04429552710761966
20,0.3193914620447128,0.7885898874175679
21,0.235423030985762,0.5514033255249794
22,0.07990013348767482,0.29635985449861924
23,0.050336240660824955,0.23244002508721887
24,0.017349079217835787,0.2968762015160675
25,0.11897239238696923,0.10913605099544407
26,0.9152567609215513,0.9603424805199464
27,0.861668440865405,0.39304151911538543
28,0.14278409887960428,0.4699053280399021
29,0.06346294302804646,0.14569501890116643
30,0.0840914642583332,0.14473679688669694
31,0.65137742896365,0.8797330904416827
32,0.10913766991366353,0.2184795671993754
33,0.15325330390270264,0.1329862677951685
34,0.20335007235674024,0.9235780709536608
35,0.15204872690470708,0.5231396759150667
36,0.038318031220469735,0.4498455868970391
37,0.06216866243334267,0.6010414031966286
38,0.09342977625339181,0.9181343824930452
39,0.10788385214266721,0.3298296491819598
40,0.09073616760342217,0.3335838868169756
41,0.09778775385003609,0.0691276065943573
42,0.07913448945324121,0.7008340426235433
43,0.6604277018649879,0.9022200318205986
44,0.31087327197642195,0.7026269797867974
45,0.020175869791870086,0.020289847021145856
46,0.2064721171086835,0.6426794045703563
47,0.09034945256592224,0.4958710668873389
48,0.0909879615112295,0.30603007442507557
49,0.014635795340547443,0.03350324591234542
50,0.4728316198229698,0.5167099955217421
51,0.6414262762386312,0.8950353504276374
52,0.04099369502860362,0.21961689969780052
53,0.010069720662039176,0.023744080100879028
54,0.1332540699082493,0.54660859367687
55,0.1615813018341318,0.8315598050690293
56,0.8995954732919541,0.9838533094511461
57,0.9307999042086761,0.964649137822089
58,0.032233754917557034,0.7222875410271015
59,0.14412661537353547,0.14203399236737269
60,0.7619604819351677,0.7203635276521676
61,0.012993930629035779,0.3988272506614789
62,0.14162554617726208,0.1585997673774838
63,0.13372645096743774,0.6991717941696807
64,0.06508179338403229,0.17164840050372332
65,0.08194307947747738,0.3947165072470592
66,0.010932639522232399,0.3914313690936506
67,0.02794466374537714,0.5173654230324457
68,0.12662944186872768,0.5571875476476928
69,0.33037655793456266,0.2852570720538762
70,0.12794817549842807,0.9205693128983827
